Id,linkedin_id,platform,company,platform_job_id,platform_link
135,4183954595,dice,www,86eaa669-e345-4e7e-9e25-1b4d24b255c7,https://www.dice.com/job-detail/86eaa669-e345-4e7e-9e25-1b4d24b255c7
136,4185632269,kpmguscom,www,jobdetail,https://www.kpmguscareers.com/jobdetail/
137,4185214883,mygwork,mygwork,amazon-business-intelligence-engineer-amazon-business-marketing-analytics-2,https://mygwork.com/jobs/amazon-business-intelligence-engineer-amazon-business-marketing-analytics-2
138,4185268248,lensa,lensa,13ea77f899fe4ad9abaca6b51c60b778tjo1,https://lensa.com/cgw/13ea77f899fe4ad9abaca6b51c60b778tjo1
139,4183951953,dice,www,17158f94-e0c5-4a32-b7fc-968682f36c1b,https://www.dice.com/job-detail/17158f94-e0c5-4a32-b7fc-968682f36c1b
140,4185630385,kpmguscom,www,jobdetail,https://www.kpmguscareers.com/jobdetail/
141,4183952817,dice,www,3799f6a7-ffd5-4703-b22d-efe921f79610,https://www.dice.com/job-detail/3799f6a7-ffd5-4703-b22d-efe921f79610
142,4185629536,kpmguscom,www,jobdetail,https://www.kpmguscareers.com/jobdetail/
143,4185264407,lensa,lensa,3577f805c36d4911b76f06cfd823c25ftjo1,https://lensa.com/cgw/3577f805c36d4911b76f06cfd823c25ftjo1
144,4183953667,dice,www,95167619-9e14-4cae-aa3a-53fe6becefff,https://www.dice.com/job-detail/95167619-9e14-4cae-aa3a-53fe6becefff
145,4183953610,dice,www,96513484-6312-4e6e-a347-9a104bcd6a24,https://www.dice.com/job-detail/96513484-6312-4e6e-a347-9a104bcd6a24
146,4183436872,dice,www,3fb4cd54-2093-4903-b81c-3692ea44e619,https://www.dice.com/job-detail/3fb4cd54-2093-4903-b81c-3692ea44e619
147,4183439488,dice,www,e308bec7-e24d-421e-9834-b6b457e2f640,https://www.dice.com/job-detail/e308bec7-e24d-421e-9834-b6b457e2f640
148,4183952821,dice,www,86649cc3-9921-42e3-ba00-cbe3a32cf1cb,https://www.dice.com/job-detail/86649cc3-9921-42e3-ba00-cbe3a32cf1cb
149,4184463972,qualitestgroup,careers,37280744,https://careers.qualitestgroup.com/job/Santa-Clara-17666-Gen-AI-Data-Architect-CA-95054/37280744/
